epoch,acc,f1score,loss,precision_m,recall_m,val_acc,val_f1score,val_loss,val_precision_m,val_recall_m
0,0.020161290322580645,0.009487663666086813,5.5752392738096175,0.08064516129032258,0.005040322580645161,0.009146341463414634,0.007367093752070171,11.606720901117093,0.009324864461654571,0.006097560975609756
1,0.021169354838709676,0.009660167559500664,4.878712361858737,0.12903224652813328,0.005040322580645161,0.010670731707317074,0.016760147199398133,5.372344458975443,0.13414633637521325,0.009146341463414634
2,0.04233870967741935,0.009717668857305281,4.519308297864852,0.14516127494073683,0.005040322580645161,0.04725609756097561,0.020813786220259783,5.1355836449599845,0.08515292369737858,0.012195121951219513
3,0.08568548387096774,0.0,4.158356051291189,0.0,0.0,0.006097560975609756,0.007399793805145636,13.28552185616842,0.00941822423440654,0.006097560975609756
4,0.0846774193548387,0.001843317501967953,4.204040519652828,0.01075268849249809,0.0010080645161290322,0.007621951219512195,0.007621938499008737,15.995244002923734,0.007621951219512195,0.007621951219512195
5,0.11088709677419355,0.018442211252066396,3.809233865430278,0.11559139913128268,0.010080645161290322,0.0078125,0.008335173316299915,14.35899224281311,0.00893769394606352,0.0078125
6,0.18245967741935484,0.060573545434782584,3.353167680002028,0.3032258104893469,0.034274193548387094,0.039634146341463415,0.02396415591966815,11.052531521494796,0.030721376400168348,0.019817073170731708
7,0.1975806451612903,0.056035844068373405,3.168305197069722,0.2327957009115527,0.03225806451612903,0.10823170731707317,0.0770719067716017,6.648106958807968,0.13158640174604044,0.054878048780487805
8,0.3125,0.18003398420349245,2.662882927925356,0.4853556925250638,0.11290322580645161,0.13567073170731708,0.11645812704795744,6.080345514344006,0.16691768641878918,0.0899390243902439
9,0.33669354838709675,0.2163891798305896,2.597678542137146,0.4977650555872148,0.14112903225806453,0.025914634146341462,0.02362013898971604,11.35162981545053,0.02937298958621374,0.019817073170731708
10,0.24092741935483872,0.12711816076790133,3.04043391443068,0.3749976783029495,0.07862903225806452,0.022865853658536585,0.021034027926805542,12.264389061346286,0.028639490284570832,0.01676829268292683
11,0.2318548387096774,0.07793685757825451,3.013626821579472,0.3554395975605134,0.04536290322580645,0.0078125,0.007812486961483955,15.992172718048096,0.0078125,0.0078125
12,0.28225806451612906,0.11080045805823419,2.968482471281482,0.37030443164610094,0.06754032258064516,0.006097560975609756,0.0060975537067506375,16.01981428192883,0.006097560975609756,0.006097560975609756
13,0.3961693548387097,0.2778858013691441,2.381878056833821,0.5497836715752079,0.1905241935483871,0.010670731707317074,0.0115558270637582,14.879596244998094,0.012625036443152078,0.010670731707317074
14,0.4002016129032258,0.2918384579881545,2.377184498694635,0.5342503007381193,0.20262096774193547,0.004573170731707317,0.0046715111267275925,15.64507577477432,0.004776422933834355,0.004573170731707317
15,0.36189516129032256,0.23589386622751912,2.5082972049713135,0.47258830839587795,0.1592741935483871,0.004573170731707317,0.004573164553177066,16.044384560933928,0.004573170731707317,0.004573170731707317
16,0.39213709677419356,0.26907103196267157,2.449255827934511,0.5392671044795744,0.1814516129032258,0.007621951219512195,0.006170924298646973,15.20403741045696,0.006248360908612973,0.006097560975609756
